Año,Lote,Tipo de Hidrocarburo,Producción,Inversion,Regalia,Canon,Reservas Probadas (P1),Reservas Probables (P2),Reservas Posibles (P3),Reservas Totales (3P),Recursos Contingentes (2C),Recursos Prospectivos (2U)
2023,Z-69,Gas,12.48327209589041,,,,,,,,,
2023,88,Gas,842.8840615334244,,,,,,,,,
2023,56,Gas,303.8292090084931,,,,,,,,,
2023,57,Gas,192.3476815539726,,,,,,,,,
2023,31-C,Gas,12.34538938931507,,,,,,,,,
2024,I,Petróleo,468.7486338797814,,,,,,,,,
2024,II,Petróleo,389.6693989071038,,,,,,,,,
2024,III,Petróleo,1673.51912568306,,,,,,,,,
2024,IV,Petróleo,2539.450819672131,,,,,,,,,
2024,V,Petróleo,112.2704918032787,,,,,,,,,
2024,VII/VI,Petróleo,17.89071038251366,,,,,,,,,
2024,VI,Petróleo,1746.010928961749,,,,,,,,,
2024,VII,Petróleo,961.2295081967213,,,,,,,,,
2024,IX,Petróleo,152.6584699453552,,,,,,,,,
2024,X,Petróleo,8033.614754098361,,,,,,,,,
2024,XIII,Petróleo,1131.142076502732,,,,,,,,,
2024,XV,Petróleo,20.11748633879781,,,,,,,,,
2024,XX,Petróleo,12.12568306010929,,,,,,,,,
2024,Z-69,Petróleo,4507.601092896175,,,,,,,,,
2024,Z-6,Petróleo,0.0,,,,,,,,,
2024,Z-1,Petróleo,526.5956284153006,,,,,,,,,
2024,192,Petróleo,0.0,,,,,,,,,
2024,8,Petróleo,95.81420765027322,,,,,,,,,
2024,67,Petróleo,0.0,,,,,,,,,
2024,95,Petróleo,17474.96448087432,,,,,,,,,
2024,131,Petróleo,767.7650273224044,,,,,,,,,
2024,Z-69,LGN,601.396174863388,,,,,,,,,
2024,31-C,LGN,80.61748633879782,,,,,,,,,
2024,88,LGN,49993.55464480874,,,,,,,,,
2024,57,LGN,15007.18306010929,,,,,,,,,
2024,56,LGN,12466.68306010929,,,,,,,,,
2024,I,Gas,2.474320721857923,,,,,,,,,
2024,II,Gas,0.8980967267759562,,,,,,,,,
2024,III,Gas,0.60381157568306,,,,,,,,,
2024,IV,Gas,2.587496362021858,,,,,,,,,
2024,VII/VI,Gas,0.0,,,,,,,,,
2024,VI,Gas,3.219708779234972,,,,,,,,,
2024,X,Gas,12.13950819672131,,,,,,,,,
2024,XIII,Gas,26.89423200928962,,,,,,,,,
2024,Z-69,Gas,9.193507756284152,,,,,,,,,
2024,88,Gas,807.1758393234971,,,,,,,,,
2024,56,Gas,290.4841261975409,,,,,,,,,
2024,57,Gas,232.6594926494535,,,,,,,,,
2024,31-C,Gas,6.963138797267759,,,,,,,,,
2025,I,Petróleo,510.4696132596685,,,,,,,,,
2025,II,Petróleo,320.2044198895028,,,,,,,,,
2025,III,Petróleo,2058.795580110497,,,,,,,,,
2025,IV,Petróleo,3040.254143646409,,,,,,,,,
2025,V,Petróleo,202.1049723756906,,,,,,,,,
2025,VII/VI,Petróleo,0.0,,,,,,,,,
2025,VI,Petróleo,1586.160220994475,,,,,,,,,
2025,VII,Petróleo,1024.469613259668,,,,,,,,,
2025,IX,Petróleo,154.0497237569061,,,,,,,,,
2025,X,Petróleo,7962.005524861878,,,,,,,,,
2025,XIII,Petróleo,929.5635359116022,,,,,,,,,
2025,XV,Petróleo,17.87845303867403,,,,,,,,,
2025,XX,Petróleo,9.486187845303867,,,,,,,,,
2025,Z-69,Petróleo,3554.707182320442,,,,,,,,,
2025,Z-6,Petróleo,0.0,,,,,,,,,
2025,Z-1,Petróleo,648.3701657458563,,,,,,,,,
2025,192,Petróleo,0.0,,,,,,,,,
2025,8,Petróleo,2750.745856353591,,,,,,,,,
2025,67,Petróleo,0.0,,,,,,,,,
